20210606 18:05:47
Origin HIRO AntMaze Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 1950 Reward: -10749.654 Time consuming: 38
Epoch: 1960 Reward: -5144.031 Time consuming: 38
Epoch: 1970 Reward: -5447.533 Time consuming: 38
Epoch: 1980 Reward: -2055.427 Time consuming: 39
Epoch: 1990 Reward: -7528.904 Time consuming: 38
Epoch: 2000 Reward: -941.518 Time consuming: 39
Goal, Curr: (0.00, 16.00, 2.67, 2.40)     Error:13.86
Goal, Curr: (0.00, 16.00, 2.31, 2.47)     Error:13.72
Goal, Curr: (0.00, 16.00, 3.80, 1.80)     Error:14.70
Goal, Curr: (0.00, 16.00, 2.84, 2.18)     Error:14.11
Goal, Curr: (0.00, 16.00, 3.07, 1.97)     Error:14.36
Goal, Curr: (0.00, 16.00, 4.45, 2.38)     Error:14.32
Goal, Curr: (0.00, 16.00, 1.85, 2.00)     Error:14.12
Goal, Curr: (0.00, 16.00, 4.57, 2.18)     Error:14.56
Goal, Curr: (0.00, 16.00, 5.24, 2.29)     Error:14.67
Goal, Curr: (0.00, 16.00, 3.57, 2.06)     Error:14.39
episode:02000, mean:-7163.21, std:151.94, median:-7190.89, success:0.00
Epoch: 2010 Reward: -8044.370 Time consuming: 44
Epoch: 2020 Reward: -7247.683 Time consuming: 38
Epoch: 2030 Reward: -5722.267 Time consuming: 38
Epoch: 2040 Reward: -7175.899 Time consuming: 38
Epoch: 2050 Reward: -5794.086 Time consuming: 37
Epoch: 2060 Reward: -6038.436 Time consuming: 38
Epoch: 2070 Reward: -1588.580 Time consuming: 38
Epoch: 2080 Reward: -8144.402 Time consuming: 38
Epoch: 2090 Reward: -9710.947 Time consuming: 38
Epoch: 2100 Reward: -3858.166 Time consuming: 38
Epoch: 2110 Reward: -6468.758 Time consuming: 38
Epoch: 2120 Reward: -7483.620 Time consuming: 38
Epoch: 2130 Reward: -7622.780 Time consuming: 38
Epoch: 2140 Reward: -6408.751 Time consuming: 38
Epoch: 2150 Reward: -9364.062 Time consuming: 38
Epoch: 2160 Reward: -7521.342 Time consuming: 38
Epoch: 2170 Reward: -6675.921 Time consuming: 38
Epoch: 2180 Reward: -1977.775 Time consuming: 38
Epoch: 2190 Reward: -8155.543 Time consuming: 38
Epoch: 2200 Reward: -4364.822 Time consuming: 38
Epoch: 2210 Reward: -6864.295 Time consuming: 38
Epoch: 2220 Reward: -5319.211 Time consuming: 38
Epoch: 2230 Reward: -4602.059 Time consuming: 38
Epoch: 2240 Reward: -9138.160 Time consuming: 38
Epoch: 2250 Reward: -3762.168 Time consuming: 38
Goal, Curr: (0.00, 16.00, 5.58, -1.20)     Error:18.09
Goal, Curr: (0.00, 16.00, 6.71, 3.02)     Error:14.61
Goal, Curr: (0.00, 16.00, 6.95, 2.16)     Error:15.48
Goal, Curr: (0.00, 16.00, 3.32, -0.11)     Error:16.45
Goal, Curr: (0.00, 16.00, 3.96, 1.75)     Error:14.80
Goal, Curr: (0.00, 16.00, 5.14, 2.84)     Error:14.13
Goal, Curr: (0.00, 16.00, 2.30, 2.83)     Error:13.37
Goal, Curr: (0.00, 16.00, 7.64, 2.62)     Error:15.41
Goal, Curr: (0.00, 16.00, 0.99, 2.63)     Error:13.41
Goal, Curr: (0.00, 16.00, 2.75, 1.16)     Error:15.09
episode:02250, mean:-7542.28, std:603.92, median:-7468.52, success:0.00
Epoch: 2260 Reward: -2972.742 Time consuming: 44
Epoch: 2270 Reward: -1382.924 Time consuming: 37
Epoch: 2280 Reward: -7996.796 Time consuming: 38
Epoch: 2290 Reward: -2826.240 Time consuming: 37
Epoch: 2300 Reward: -1242.871 Time consuming: 38
Epoch: 2310 Reward: -8867.300 Time consuming: 39
