20210606 18:05:47
Origin HIRO AntPush Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 1810 Reward: -9649.447 Time consuming: 39
Epoch: 1820 Reward: -9508.729 Time consuming: 39
Epoch: 1830 Reward: -9442.898 Time consuming: 39
Epoch: 1840 Reward: -9484.493 Time consuming: 38
Epoch: 1850 Reward: -9637.822 Time consuming: 39
Epoch: 1860 Reward: -9388.492 Time consuming: 39
Epoch: 1870 Reward: -9856.360 Time consuming: 39
Epoch: 1880 Reward: -9463.449 Time consuming: 39
Epoch: 1890 Reward: -9326.403 Time consuming: 39
Epoch: 1900 Reward: -9442.773 Time consuming: 39
Epoch: 1910 Reward: -9373.549 Time consuming: 38
Epoch: 1920 Reward: -9654.450 Time consuming: 39
Epoch: 1930 Reward: -9383.647 Time consuming: 39
Epoch: 1940 Reward: -9580.337 Time consuming: 39
Epoch: 1950 Reward: -9315.618 Time consuming: 39
Epoch: 1960 Reward: -9345.567 Time consuming: 38
Epoch: 1970 Reward: -8977.484 Time consuming: 39
Epoch: 1980 Reward: -9428.921 Time consuming: 39
Epoch: 1990 Reward: -9306.532 Time consuming: 39
Epoch: 2000 Reward: -9293.241 Time consuming: 39
Goal, Curr: (0.00, 19.00, -0.75, 0.35)     Error:18.67
Goal, Curr: (0.00, 19.00, 0.06, 0.44)     Error:18.56
Goal, Curr: (0.00, 19.00, -0.05, 0.08)     Error:18.92
Goal, Curr: (0.00, 19.00, 0.12, 0.18)     Error:18.82
Goal, Curr: (0.00, 19.00, -0.12, 0.11)     Error:18.89
Goal, Curr: (0.00, 19.00, -0.02, 0.19)     Error:18.81
Goal, Curr: (0.00, 19.00, -0.48, -0.38)     Error:19.39
Goal, Curr: (0.00, 19.00, 0.33, -0.10)     Error:19.11
Goal, Curr: (0.00, 19.00, -0.30, -0.42)     Error:19.42
Goal, Curr: (0.00, 19.00, 0.14, 0.42)     Error:18.58
episode:02000, mean:-9462.72, std:140.78, median:-9428.57, success:0.00
Epoch: 2010 Reward: -9446.084 Time consuming: 45
Epoch: 2020 Reward: -9252.693 Time consuming: 39
Epoch: 2030 Reward: -9225.212 Time consuming: 39
Epoch: 2040 Reward: -9483.989 Time consuming: 39
Epoch: 2050 Reward: -9655.282 Time consuming: 39
Epoch: 2060 Reward: -9554.498 Time consuming: 38
Epoch: 2070 Reward: -9500.138 Time consuming: 39
Epoch: 2080 Reward: -9564.274 Time consuming: 39
Epoch: 2090 Reward: -9480.599 Time consuming: 38
Epoch: 2100 Reward: -9624.406 Time consuming: 39
Epoch: 2110 Reward: -9383.411 Time consuming: 39
Epoch: 2120 Reward: -9582.734 Time consuming: 38
Epoch: 2130 Reward: -9483.215 Time consuming: 38
Epoch: 2140 Reward: -9512.786 Time consuming: 39
Epoch: 2150 Reward: -9661.047 Time consuming: 38
Epoch: 2160 Reward: -9643.327 Time consuming: 38
Epoch: 2170 Reward: -9563.048 Time consuming: 38
Epoch: 2180 Reward: -9398.682 Time consuming: 39
Epoch: 2190 Reward: -9999.107 Time consuming: 39
Epoch: 2200 Reward: -9571.970 Time consuming: 38
Epoch: 2210 Reward: -9726.636 Time consuming: 38
Epoch: 2220 Reward: -9656.163 Time consuming: 39
Epoch: 2230 Reward: -9558.920 Time consuming: 38
Epoch: 2240 Reward: -9792.704 Time consuming: 38
Epoch: 2250 Reward: -9545.972 Time consuming: 38
Goal, Curr: (0.00, 19.00, -0.03, -0.36)     Error:19.36
Goal, Curr: (0.00, 19.00, -0.03, -0.05)     Error:19.05
Goal, Curr: (0.00, 19.00, 0.01, 0.05)     Error:18.95
Goal, Curr: (0.00, 19.00, -0.04, -0.12)     Error:19.12
Goal, Curr: (0.00, 19.00, -0.13, 0.13)     Error:18.87
Goal, Curr: (0.00, 19.00, -0.01, -0.17)     Error:19.17
Goal, Curr: (0.00, 19.00, -0.09, 0.06)     Error:18.94
Goal, Curr: (0.00, 19.00, -0.04, 0.12)     Error:18.88
Goal, Curr: (0.00, 19.00, -0.17, -0.08)     Error:19.08
Goal, Curr: (0.00, 19.00, -0.10, -0.39)     Error:19.39
